palabra,frecuencia
de,24459038
que,19102844
la,15403031
no,13845008
el,12100878
en,11051605
es,8013166
un,7265404
lo,6908748
por,6016577
los,5687850
una,5193925
se,5080634
con,4509652
qué,4351664
me,4302080
para,3894252
las,3687944
del,3505097
te,3154427
su,3109129
pero,2819996
si,2676145
está,2627414
mi,2589564
al,2500543
sí,2459145
como,2404116
bien,2176247
más,2165223
eso,2144243
yo,2083618
le,1845414
aquí,1691911
tu,1665803
todo,1544237
ha,1452267
ya,1389442
esto,1379826
muy,1294788
esta,1290741
ahora,1213835
así,1205977
cuando,1188601
hay,1179228
este,1144392
algo,1125191
estoy,1122710
vamos,1072351
él,1070567
ser,1052612
bueno,1039956
nos,1021380
sus,1011957
fue,1005240
tengo,986784
era,985658
nada,960184
tiene,954339
sé,946793
tú,946172
cómo,935449
vez,930765
estás,929301
sólo,912140
ella,911291
son,903809
hacer,890471
he,879341
porque,870759
todos,844860
puedo,825278
quiero,822885
gracias,803297
puede,792545
dos,784866
sin,773153
soy,772069
sobre,767724
ese,752181
estaba,730266
también,715468
tiempo,687892
tan,686387
entonces,685644
creo,683937
tienes,682238
casa,672896
usted,668917
esa,668819
voy,662485
sabes,647130
eres,641438
verdad,629489
hasta,626256
solo,622353
nunca,616936
años,611574
hace,609859
va,604495
hola,603263
mucho,599601
quién,596225
mejor,577793
vida,577140
decir,568965
mí,562903
dónde,560489
ni,555431
están,551731
favor,549447
señor,542633
hombre,540236
oh,536659
siempre,535920
ver,529254
uno,529067
quieres,524005
siento,521986
había,512587
dios,509312
has,507560
antes,506316
día,506052
desde,502267
tenemos,498611
poco,489944
cosas,484381
ti,483867
otra,482966
mismo,478580
han,478219
hecho,474909
alguien,470767
puedes,470464
ahí,456119
dijo,451371
estar,448651
entre,448607
noche,446359
trabajo,441225
ir,439955
después,433246
mis,429362
sea,421711
acuerdo,418814
otro,412548
parece,410169
donde,409601
ellos,408528
estamos,402058
mundo,399953
gente,399821
nosotros,398706
padre,396287
estado,392772
nadie,389461
tal,389345
les,380802
parte,377788
sido,376857
momento,376691
podría,369129
menos,367335
mira,366113
quiere,365883
fuera,365550
gran,364639
lugar,358565
hablar,357328
tener,350961
tenía,350059
tres,349324
nuevo,347157
pasa,339032
vas,336124
cada,334232
claro,331173
dinero,330904
madre,325343
mañana,324759
tipo,318946
hoy,318874
días,318147
luego,316333
allí,313986
mujer,311563
nuestro,310353
tanto,308198
cosa,305321
sabe,305253
todas,302663
haciendo,298899
hijo,298154
dice,297048
seguro,296087
podemos,294383
debe,292452
espera,289591
vale,288283
será,287967
estas,285915
toda,283994
haber,283752
tus,283696
amigo,277532
nuestra,273824
buena,272089
aún,269890
quien,269688
estos,267930
nombre,264690
tienen,264360
veces,262197
mamá,258225
mal,255988
buen,255558
durante,252007
papá,251063
quería,249429
dije,249282
